mes,metodo,canal,propostas,vendas,taxa_pct
2026-01,coorte,Inbound,231,25,10.8
2026-01,coorte,Farmer,116,22,19.0
2026-01,coorte,Palestrante,23,6,26.1
2026-01,coorte,TOTAL,370,53,14.3
2026-02,coorte,Inbound,177,36,20.3
2026-02,coorte,Farmer,131,22,16.8
2026-02,coorte,Palestrante,25,5,20.0
2026-02,coorte,TOTAL,333,63,18.9
2026-03,coorte,Inbound,225,23,10.2
2026-03,coorte,Farmer,183,37,20.2
2026-03,coorte,Palestrante,23,2,8.7
2026-03,coorte,TOTAL,431,62,14.4
2026-04,coorte,Inbound,157,15,9.6
2026-04,coorte,Farmer,190,33,17.4
2026-04,coorte,Palestrante,23,8,34.8
2026-04,coorte,TOTAL,370,56,15.1
2026-05,coorte,Inbound,180,17,9.4
2026-05,coorte,Farmer,161,24,14.9
2026-05,coorte,Palestrante,12,5,41.7
2026-05,coorte,TOTAL,353,46,13.0
2026-06,janela_16_15,Inbound,199,18,9.0
2026-06,janela_16_15,Farmer,166,33,19.9
2026-06,janela_16_15,Palestrante,9,6,66.7
2026-06,janela_16_15,TOTAL,374,57,15.2
2026-07,janela_16_15,Inbound,180,14,7.8
2026-07,janela_16_15,Farmer,211,47,22.3
2026-07,janela_16_15,Palestrante,13,7,53.8
2026-07,janela_16_15,TOTAL,404,68,16.8
2026-08,janela_16_15,Inbound,241,27,11.2
2026-08,janela_16_15,Farmer,289,46,15.9
2026-08,janela_16_15,Palestrante,16,1,6.2
2026-08,janela_16_15,TOTAL,546,74,13.6
