mes,frente,tipo,vendas,receita_brl,ticket_brl
2026-01,TBW Weekend,aquisicao,48,484120,10086
2026-01,Best Day+,aquisicao,1,997,997
2026-01,Mentorias,expansao,1,7000,7000
2026-01,Base,expansao,0,0,0
2026-02,TBW Weekend,aquisicao,34,259020,7618
2026-02,Best Day+,aquisicao,1,1080,1080
2026-02,Mentorias,expansao,6,45000,7500
2026-02,Base,expansao,17,43028,2531
2026-03,TBW Weekend,aquisicao,26,273120,10505
2026-03,Best Day+,aquisicao,17,42394,2494
2026-03,Mentorias,expansao,4,60000,15000
2026-03,Base,expansao,28,84701,3025
2026-04,TBW Weekend,aquisicao,33,334510,10137
2026-04,Best Day+,aquisicao,28,55644,1987
2026-04,Mentorias,expansao,5,62500,12500
2026-04,Base,expansao,36,120464,3346
2026-05,TBW Weekend,aquisicao,36,409000,11361
2026-05,Best Day+,aquisicao,16,28455,1778
2026-05,Mentorias,expansao,5,51500,10300
2026-05,Base,expansao,34,96000,2824
2026-06,TBW Weekend,aquisicao,34,354500,10426
2026-06,Best Day+,aquisicao,12,20576,1715
2026-06,Mentorias,expansao,6,74000,12333
2026-06,Base,expansao,37,181900,4916
2026-07,TBW Weekend,aquisicao,34,386000,11353
2026-07,Best Day+,aquisicao,17,39170,2304
2026-07,Mentorias,expansao,7,104000,14857
2026-07,Base,expansao,23,98125,4266
2026-08,TBW Weekend,aquisicao,27,308520,11427
2026-08,Best Day+,aquisicao,7,12792,1827
2026-08,Mentorias,expansao,0,0,0
2026-08,Base,expansao,21,133100,6338
